author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
802rahulp,Great Spot for Food,"The food was delicious and the service was excellent. There were a few vegetarian and vegan options. The ambiance is nice, but the food is pricey.",45,Jan-22,4.5,Craft Gourmet
olajideo2013,Lovely Cafe.,"Lovely Cafe on the 3rd floor at Mega Plaza. Great for quick bites, meetings or just to chill. The place is quite pricey though, so be ready to pay above the average Lagos prices.More",45,Dec-20,4.5,Craft Gourmet
Ade703,Always worth the visit,"Hello @olajideo2013. Thank you for your review. At Craft Lagos, we are always prepared to give you value through the provision of quality food and beverage.

We hope that on your next visit you will get to order a meal that would satisfy your appetite....More",45,Sep-20,4.5,Craft Gourmet
Marzia A,Love It!,"Craft Gourmet is always worth the visit, never disappointing. Located on the third floor of Mega Plaza (Victoria Island, Lagos), everything about the place leaves little to nothing to complain about. 

The food is good and well worth the price, the menu offers a good...variety of food, drinks and dessert, the ambience is serene and peaceful and the setup as a whole is upscale. Arrival time of the food was short and the waiters are usually pleasant. The restaurant has also taken steps to be covid compliant e.g. with the introduction of e-menus as opposed to physical versions. 

The cocktail menu is a tad bit limited but that's honestly a small issue, hence the 5 star rating.More",45,Aug-19,4.5,Craft Gourmet
Johannesburg_KOH,Good but not reasonable,"Hello Ade703, thank you so much for such encouraging and kind words, we really appreciate them. 

We are super glad to know that you had a beautiful dining experience and that you felt safe in our restaurant.

On your next visit, you can ask Andy...More",40,Dec-19,4.5,Craft Gourmet
Tatuabdul,Scrumptious and tasty food in a beautiful place,"I lived in Lagos for almost 7 year and since Craft opened it was always like a breath of fresh air.
I love there...a paradise spot in Lagos...very good first choice raw material mixed with love and fantasy and served with always smiling face.
The...day that i had a terrible cold Lou prepared me a fantastic special infused that saved me.
thank you guys and Lou I wish i was able to replicate your magic infuse here in Milan...and believed me i really tried.More",50,Nov-19,4.5,Craft Gourmet
Choba14,Great food in a cozy setting,"Hello Marzia. It pleases us to know that you consider our place to be a paradise. 

We are also delighted to know that your cold was relieved by one of our specialty tea.

Thank you so much for sharing your pleasant experience. We hope to...More",50,Apr-19,4.5,Craft Gourmet
1girl_1passport,Hidden Gem,"Overall, service, taste and atmosphere are good but never reasonable. 8,100NGN totaling a bolognese and a beer.サービス、味そして雰囲気はよいが、値段は安くはないです。ボロネーゼとビールで2500円です。ボロネーゼとビールで2,500円でした。",50,Sep-19,4.5,Craft Gourmet
laurel_s1717,So much flavour!,"The service and ambience was great.. it was my first time there and i have to say the food was absolutely tasty and scrumptiously delicious.  I had brunch there, a salad and drink. The food was so good I went back for more and will...recommend it to anyone. Let us just say it is value for money.More",30,Aug-19,4.5,Craft Gourmet
51olivero,Great service and food,"I like this Café, it is cosy, serves good food and has great service. This place in in a shopping center – Mega Plaza, it offers privacy and the décor is warm and inviting. We had a salad with shrimp and their salmon dish with...fries and enjoyed every bite. The service was outstanding and would love to try their breakfasts.More",50,May-19,4.5,Craft Gourmet
gaziedecker,Quite classy 👍🏿,"I came here for my birthday breakfast with my partner and it was amazing. 

The restaurant ambiance is amazing, very classy. The service is outstanding, western level.

My partner ordered a full breakfast which was huge and worth the money. He loved every bit of...it. I ordered a breakfast bowl which was so good....I even ordered one to go and take home it was so tasty! I also had a lovely homemade ice tea with my breakfast.

Honestly one of the best places I've been to in Lagos. A little prices but worth it for the service and the quality of food. While be coming back here more.More",40,Mar-19,4.5,Craft Gourmet
