author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
Benson E,Love and cozy,"Amazing food, nice ambiance and great service. Mr Anthony is exceptional, I love his service. I must say this again, Wakame is beautiful.",50,Nov-23,5,Wakame Restaurant
Madonna D,Wakame Lagos at the Marriott,"The food at Wakame is very tasty, with a great ambience and pleasant staff members. I will definitely be coming here",45,Nov-23,5,Wakame Restaurant
Favour O,Best restaurant in Ikeja!,"A really lovely and intimate spot, the food was really good and customer service was excellent. Can honestly say it’s the best restaurant in Ikeja, Lagos. Our waiter Saviour was very professional and friendly!",50,Nov-23,5,Wakame Restaurant
Ruby K,Customer service,"Nice meal and customer service was top notch …..presentation was also on point ,I highly recommend..",45,Nov-23,5,Wakame Restaurant
Darrell L,Great experience!,"The food was fantastic.  I had the butter chicken that had an incredible flavor.  The service was excellent.  Our server Savor was very friendly, very attentive and highly recommended! I will definitely be back.",50,Nov-23,5,Wakame Restaurant
Maritha O,An awesome dinner experience 🥂,"Wakame restaurant at Mariott Ikeja has a beautiful and relaxing ambience and it doesn’t just stop there. The service from the waiters was top-notch as well.

 I and my friend were new to the Asian fusion scene and so, our waiter, Mr. Anthony (who I...highly recommend) pointed out some dishes for us to try out. We followed his advice and had a blast with the meals we ordered✨

We had the prawn spring rolls as the starter dish. I’d rate this a 10/10. It was hot, crispy and with every bite, I got a delicious mouthful of creamy prawns. 

For our main dishes, I had the ginger beef tenderloin and Jasmin rice (9/10). The beef was tender and the sauce was really tasty. My friend had the Tandoori wings and fried rice (as a side), It came in a platter, with naan bread, pepper sauce and a fresh salad. We both had wine to finish up our meals. And we enjoyed every bit of our experience. 

P.s: It was my friend birthday and when we told Mr. Anthony, they sent to our table a slice of moist cake. 

Total bill was N50,400 (inclusive of VAT) for 2 persons and the portions were so filling, we had to pack the rest up to go.

 I’d rate this restaurant 5 stars and I’ll definitely be back for another visit!More",50,Oct-23,5,Wakame Restaurant
joan o,##,"The place is great. Nice ambiance, the food is okay ,the service wasn’t so great ,although Anthony did a great job serving us.The table settings with cutlery could have been better.",50,Oct-23,5,Wakame Restaurant
sylvian a,It was a nice place with good ambiance.,This is a good spot for a good night out. The ambiance is great and it’s a chill seat and eat spot for something different.,50,Oct-23,5,Wakame Restaurant
Paradise26069534682,A dinner to remember- Thanks to Chef,We enjoyed the meal. The chef did a very great job and would love to come again. It's a great place to end the day.,50,Oct-23,5,Wakame Restaurant
Obi M,Great Customer Service,A great place to relax and have a good meal. I loved the ambience and the staff was so great and friendly,50,Oct-23,5,Wakame Restaurant
ifunanya u,Great customer care,This spot is great for any type of outing. We had so much fun and the customer care was awesome. Would definitely visit wakame again,50,Sep-23,5,Wakame Restaurant
OnAir29124514645,The best Asian fusion Restaurant in Lagos,"Wakame is a tourist delight, they have a vast menu of Asian cuisine freshly prepared and very tasty. The staff are amazing.",30,Sep-23,5,Wakame Restaurant
Taofeek M,Lovely experience,It was a nice experience and I would do it again and again. Thanks for having us the food was worth it,40,Sep-23,5,Wakame Restaurant
Jungle B,No delivery service,They don’t do delivery and that is a NO for me totally and they hardly pick up their phones…………….::/,50,Sep-23,5,Wakame Restaurant
Chris C,Delicious food with excellent service,Food was excellent.  Great service!!  Will definitely return the  ext time I am in the area.  Thanks!,50,Aug-23,5,Wakame Restaurant
Favour A,How wakame stole my heart,I was there for my birthday and overall Its an amazing spot. The food is amazing and the service is 10/10(shoutout to my waiter anthony he was amazing). The ambience is to die for…overall i would recommend this place any day and i would 100%...More,50,Jul-23,5,Wakame Restaurant
Iheonu D,Birthday dinner,I had the best experience ever and they were really friendly. Of course the food tasted so niceeee. Best place to be!!!,45,Aug-23,5,Wakame Restaurant
Lamide A,I had a really great time here. The staff are extremely friendly.,This is a really great spot for lunch with friends and family. Excellent customer service and delicious food.,50,Aug-23,5,Wakame Restaurant
ToyinTB,Fabulous,The best buffet in lagos. The staff are friendly and it’s a bargain. Great choice of food to choose from.,45,Jul-23,5,Wakame Restaurant
Ishan R,"Great atmosphere, amazing food, delightful staff","Amazing food, great atmosphere and great staff. Great sushi from Chef Krishna, and amazing drinks from Tony.

Was here with the entire family - had a delightful time. Look forward to coming back here soon!",50,Jul-23,5,Wakame Restaurant
Jonathan Y,Awesome dinner experience with Wakame,The food was  awesome with good service from the attendant. The food met my expectations and we are looking forward to coming again with the kids,50,Jul-23,5,Wakame Restaurant
bahdcoder,"Loved Wakame, every single time","Amazing service, reasonable prices, real Asian Experience, Great dishes. We had a great time in this beautiful ambience and lovely Asian music.",50,Jul-23,5,Wakame Restaurant
edet m,Excellent wxperience,The bar man recommended an excellent meal for us. And we did enjoy it. I was skeptical about Chinese meals but we were encouraged to try it and it was very good.,50,Jun-23,5,Wakame Restaurant
