author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
Ruth E,Good taste of food,I had a great experience at Hard Rock Cafe Lagos  and there service is very  Good but there food is very expensive there but I love the food  ..  I also visited the rock shop to get their stuff and the also told me about...their unity program ‚Ä¶More,45,Nov-23,4.5,Hard Rock CafÈ
Bayere E,Good service,"Hi,

Thank you for taking the time out to share your feedback with us. We are glad you enjoyed your overall experience and we look forward to welcoming you back in the near future and look into the service. We appreciate your valuable feedback and...More",40,Nov-23,4.5,Hard Rock CafÈ
CookieEllla,Fanatics service,"I really enjoy their service the staff were friendly and the managers, the food was really nice but quite expensive.We also bought some T shirt from the rock shop with the help of staff....More",40,Oct-23,4.5,Hard Rock CafÈ
635melah,SERVICE WAS GREAT,"Hi,

Thank you for taking the time out to share your feedback with us. We are glad you enjoyed your overall experience and we look forward to welcoming you back in the near future and look into the service. We appreciate your valuable feedback and...More",40,Sep-23,4.5,Hard Rock CafÈ
Bright L,Good food,"After the female supervisor came we decided to order because suggested some drinks for us but the food was fantastic also we went out the see the view it‚Äôs was nice , when going we visited the shop and pick one t shirt also excellent...service from all teamMore",45,Sep-23,4.5,Hard Rock CafÈ
Amuleya T,Their are service Is excellent,"Hi,

Thank you for taking the time out to share your feedback with us. We are glad you enjoyed your overall experience and we look forward to welcoming you back in the near future and look into the service. We appreciate your valuable feedback and...More",50,Aug-23,4.5,Hard Rock CafÈ
Jessica R,It was a unique experience,"We both came to get some T shirt but ending up eating but the funny part was that we never knew there was a place like hard rock ü§ò, the staff was really helping showing us around.... Drink and food was wonderful‚ú®üòçMore",50,Aug-23,4.5,Hard Rock CafÈ
sparrow j,HRC Lagos,"Hi,

Thank you for taking the time out to share your feedback with us. We are glad you enjoyed your overall experience and we look forward to welcoming you back in the near future and look into the service. We appreciate your valuable feedback and...More",50,Jul-23,4.5,Hard Rock CafÈ
sharryk2018,Best service,"We decided to check on the food was but to our surprise, we really enjoy the food and the atmosphere of the restaurant service was great and the lady supervisor was really helpful... Next visit will surely come back ...More",50,Jul-23,4.5,Hard Rock CafÈ
Oguntola T,Top hangout spot in Lagos,"Hi,

Thank you for taking the time out to share your feedback with us. We are glad you enjoyed your overall experience and we look forward to welcoming you back in the near future and look into the service. We appreciate your valuable feedback and...More",50,Apr-23,4.5,Hard Rock CafÈ
81andreasb,A trip to the Hard Rock Cafe Lagos - I did it and loved it‚Ä¶,"I have a great experience and a lovely speed of service 
I came to Hard Rock Cafe Lagos on Tuesday 
To have my lunch 
I order pork Ribs 
It was is delicious 
And the speed of service was a great one 
I will be there...anytime soonMore",50,May-23,4.5,Hard Rock CafÈ
shadylau,Informal dinner,"Hi,

Thank you for taking the time out to share your feedback with us. We are glad you enjoyed your overall experience and we look forward to welcoming you back in the near future and look into the service. We appreciate your valuable feedback and...More",50,May-23,4.5,Hard Rock CafÈ
anthonyoJ9254DS,Dinner,"The spot is a great place, nice atmosphere and view. Had different items(merchandise) in the rockshop. I had a great time with my friends.More",50,May-23,4.5,Hard Rock CafÈ
miguelmas2000,Can only recommend,"Hi,

Thank you for taking the time out to share your feedback with us. We are glad you enjoyed your overall experience and we look forward to welcoming you back in the near future and look into the service. We appreciate your valuable feedback and...More",50,May-23,4.5,Hard Rock CafÈ
Amuleya T,Dinner after work with my friends,"Evelyn, supervisor at HRC Lagos friendly staff and easy to deal, communicate. Definitely will visit again..More",50,Apr-23,4.5,Hard Rock CafÈ
wisdom a,Dinner date with my spouse,"We had an amazing time here after a long time we have been planning to visit. It paid off thou, from the service to the food friendliness of the staffs was absolutely the best. I recommend this place.More",45,Apr-23,4.5,Hard Rock CafÈ
anthonyoJ9254DS,High school get together was mind blowinWe made a dinner because most of us couldn't,"Hi,

Thank you for taking the time out to share your feedback with us. We are glad you enjoyed your overall experience and we look forward to welcoming you back in the near future and look into the service. We appreciate your valuable feedback and...More",40,Apr-23,4.5,Hard Rock CafÈ
evob2018,Amazing place,High school get together was mind blowing experience with hard rock team. Is such a cool place for a group outing.More,40,Apr-23,4.5,Hard Rock CafÈ
Florence O,Brief meeting,"Hi,

Thank you for taking the time out to share your feedback with us. We are glad you enjoyed your overall experience and we look forward to welcoming you back in the near future and look into the service. We appreciate your valuable feedback and...More",40,Mar-23,4.5,Hard Rock CafÈ
Alfred M,Reunion,"It‚Äôs was a lovely place and the atmosphere was too sweet , the manager and service team made us enjoy our stay‚Ä¶. The rock shop was looking good but I didn‚Äôt see what I wanted .More",45,Mar-23,4.5,Hard Rock CafÈ
Kingsley S,Dinner with colleagues,"Hi,

Thank you for taking the time out to share your feedback with us. We are glad you enjoyed your overall experience and we look forward to welcoming you back in the near future and look into the service. We appreciate your valuable feedback and...More",50,Mar-23,4.5,Hard Rock CafÈ
55harishs,Happy hours,This place is great for casual dining and cooperate the upstairs was closed i would have love sitting there. I actually didn't have the time to go through their menu that I will try when next I visit.More,50,Feb-23,4.5,Hard Rock CafÈ
ericndera,Excellent Ribs,"Hi,

Thank you for taking the time out to share your feedback with us. We are glad you enjoyed your overall experience and we look forward to welcoming you back in the near future and look into the service. We appreciate your valuable feedback and...More",50,Feb-23,4.5,Hard Rock CafÈ
georgezR1608EN,Food and drinks,Dinner with my old time friends foods and drinks were absolutely amazing my friends were so glad I made this choice of hard rock for his gathering. But is just the water views has been clogged up it would have Ben lovely sitting at the...More,50,Feb-23,4.5,Hard Rock CafÈ
anthonyoJ9254DS,Dinner outing,"Hi,

Thank you for taking the time out to share your feedback with us. We are glad you enjoyed your overall experience and we look forward to welcoming you back in the near future and look into the service. We appreciate your valuable feedback and...More",50,Jan-23,4.5,Hard Rock CafÈ
Probhashish,I visited with a friend for a evening of beers and some munches,This place has the capacity and facilities for casual and cooperate dinning. We actually enjoyed our food and drink service was mind blowing after a long hour of presentation we got a cool headed waiter who pays attention to details my colleagues who flew from...More,50,Jan-23,4.5,Hard Rock CafÈ
evob2018,Great service,"Hi,

Thank you for taking the time out to share your feedback with us. We are glad you enjoyed your overall experience and we look forward to welcoming you back in the near future and look into the service. We appreciate your valuable feedback and...More",50,Jan-23,4.5,Hard Rock CafÈ
386markusn,Hard Rock Cafe Lagos,"It was a random visit to the hard rock cafe with few colleagues after work , luckily when we got there , they had this cool happy hours for 1 + 1 on drinks. The cocktails were priced on a an average of 5 k...More",50,Jan-23,4.5,Hard Rock CafÈ
kelvinsN4298JG,Mr Kelvin,"Hi 55harishs,  

Thank you for taking the time out to share your feedback with us. We are glad you enjoyed your overall experience and we look forward to welcoming you back in the near future. We appreciate your valuable feedback and have shared the same...More",50,Dec-22,4.5,Hard Rock CafÈ
nanmwan,Engr.,"I had visited the hard rock with some friends, They have great hamburgers and ribs . Located in a prime spot in VI. The place has an amazing collection of Memorabilia.  Definitely a good place to visit for great American food and cocktails.More",50,Dec-22,4.5,Hard Rock CafÈ
329bhaveshm,Second visit here and still amazing,"Great food, good music, great service and good ambience. Can't go wrong with Hard Rock Cafe as the consistency is there and despite an external event taking place the service was goodMore",45,Sep-22,4.5,Hard Rock CafÈ
awnib2017,Birthday,"Hi 329bhaveshm,   

Thank you for taking the time out to share your feedback with us. We are glad you enjoyed your overall experience and we look forward to welcoming you back in the near future. We appreciate your valuable feedback and have shared the same...More",40,Jul-22,4.5,Hard Rock CafÈ
mhveo,Great meal & ambience,"I went to celebrate my girlfriend‚Äôs birthday , and they gave a hell of a shoutout, friendly staff, great food , lovely ambiance , if you‚Äôre in lagos you must try the most delicious and juicy burgers ever.More",40,Jul-22,4.5,Hard Rock CafÈ
dwwtv,"My First time and I enjoyed the food with great ambiance 
I enjoyed every dime spent","Hi awnib2017,    

Thank you for taking the time out to share your feedback with us. We are glad you enjoyed your overall experience and we look forward to welcoming you back in the near future. We appreciate your valuable feedback and have shared the same...More",40,Jul-22,4.5,Hard Rock CafÈ
chinmaybodke,Good place to hang out,"Had dinner with a colleague last week. Meal was delicious and the general ambience was super chilled. 
Would always come back.More",45,Jul-22,4.5,Hard Rock CafÈ
282tab,Great taste,"Hi ,  


Thank you for taking the time out to share your feedback with us. We are glad you enjoyed your overall experience and we look forward to welcoming you back in the near future. We appreciate your valuable feedback and have shared the same...More",40,Jul-22,4.5,Hard Rock CafÈ
victorialW9143JV,.,I‚Äôm an introvert but my experience there got me energetic lol‚Ä¶ I and my friends would love to go back there cause the food is everythingMore,50,Jul-22,4.5,Hard Rock CafÈ
higheraspirations,Excellent Customer Experience,"Hi ,  


Thank you for taking the time out to share your feedback with us. We are glad you enjoyed your overall experience and we look forward to welcoming you back in the near future. We appreciate your valuable feedback and have shared the same...More",50,Jul-22,4.5,Hard Rock CafÈ
998vinodm,"Hard Rock cafe
VI,Lagos","The ambience is very good and the staff is extremely courteous. Being an old timer, do miss the heavy metal songs I am so used to listening, but the service makes up for it.  Keep it up guys..More",50,Jun-22,4.5,Hard Rock CafÈ
marlvini,My Experience at hard rock cafe,"Hi ,  


Thank you for taking the time out to share your feedback with us. We are glad you enjoyed your overall experience and we look forward to welcoming you back in the near future. We appreciate your valuable feedback and have shared the same...More",50,Jun-22,4.5,Hard Rock CafÈ
Wesleybotdawg,Great Experience and customer  service,"Hardrock is my go too with my friends.  Affordable, good music, great taste ü•≥.  The light üí° comes out at night so do weMore",50,Jun-22,4.5,Hard Rock CafÈ
