author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
KrisJose,Fat and gristle only.,"I just chewed on fat and gristle for my meal, what a waste of time. Totally inedible. I wouldn’t mind but I come here regularly. Sharwma, totally pointless, now I have to eat again tonight. Spent 100s of thousands in here, won’t bother again. Disgusting....Complained, no one cared.More",40,Mar-22,4,Arabesque Restaurant
gcxotf,Dissapointed,"Maybe the most serene and peaceful environment of any terrace/patio/alfresco place in bustling Lagos.
Quality of food poor, service inefficient. Price ridiculous.
Better choices for Lebanese available for the same price.
Conclusion, never ever again.",45,Aug-21,4,Arabesque Restaurant
olajideo2013,I really like this place.,"I really like this place. The outdoor has this arab feel, Alladin kind of vibes - Beautiful & Colourful. The inside is a lot more formal, with nice food and cocktails. Lagos is just that city!",40,Mar-21,4,Arabesque Restaurant
bunmiOdez,Could be alot better,"Stayed outside because inside had a cigarette smell.
The small bites were great but the main dish was way too salty.
The place could use some, actually needs alot of retouching. The decor looks a bit old",40,Dec-19,4,Arabesque Restaurant
TheLuckyTraveller14,Beautiful outdoor patio with a lot of mosquitoes,"The outdoors patio is beautiful, the service is as in most places poor and the food is descent, same as the prices.
The indoors are old and dusty, very quiet. 
Prepare for mosquitoes, the are a lot",10,Feb-20,4,Arabesque Restaurant
ibikunleo,Well worth a visit,"I've been here several times and everytime have been very impressed with the quality of the food and the ambiance. You may choose to sit in the garden area or indoors but, of course, it could get a bit warm or wet outside, depending on...the time of the year.

However wherever you sit, the fare on offer tastes just as nice. Try the very fresh tasting Taboulle or for fish lovers, you must have the grilled fish.More",20,Dec-19,4,Arabesque Restaurant
NonemekCreativity,Some cozy place,Hmm.. I like the nights with the life music and cozy chilling. A place to take your loved one to for merriment... A bit for the Bigs though...,40,Oct-18,4,Arabesque Restaurant
WayneFors,A gem in Lagos,"We had a spread of food, all of excellent quality. A beautiful place, great service and the prices are rather reasonable. The biggest and tastiest prawns I have ever had! I will certainly return on my next trip to Lagos. Well done guys, a great...experience.More",30,Mar-19,4,Arabesque Restaurant
NnekaBN,best hummus ever,"I've actually been here on multiple occasions and I've every come to carry out humus and pita, because I love it that much. Cocktails are good too, and I love the ambiance, specifically outside. And they also have these mosquito repellents which really help.",20,Apr-19,4,Arabesque Restaurant
Mide_cacTuS,Middle easT in LaGoS...,"They have incredible music,i mean the slow pace but bouncing arabian beats..gives you an insight to how an arabian lebanese restaurant looks...its very cool indoors and smells like middle east...they have great foods and drinks aswell..you get to play interactive games if you want to...",50,Sep-18,4,Arabesque Restaurant
Yasser_A_A_A,Perfect Lebanese Cuisine in Victoria Island,"a real lebanese cuisine in Lagos, the place is very clean and cozy, staff are friendly, the food was really delecious and the menu has lots of varities",40,Jan-19,4,Arabesque Restaurant
anilht2001,Superb experience,"Superb experience, delicious food, excellent service
Overall a fantastic experience
Good drinks menu,",50,Jan-19,4,Arabesque Restaurant
Linda P,The best restaurant in Lagos,"Arabesque provides the most amazing atmosphere, incredible food, fantastic cocktails and superb service. I've been a number of times and am never disappointed.",40,Oct-18,4,Arabesque Restaurant
Winifred O,Dinner at Arabesque,"Simply amazing! Service was good, food was awesome, ambience was lit! What more can you ask for? I had the lemonade for the first time and loved it. Definitely going back soon.",40,Oct-18,4,Arabesque Restaurant
Lez M,Elegant date night,"Love this place for the garden and Mojitos. The food is good too. Inside is pretty too, but the garden is an oasis in VI.",50,Jun-18,4,Arabesque Restaurant
OpeyemiAO,Had Drinks & Shisha and they were great,"Went to Arabesque for Drinks/Shisha with friends and it was great. Service isn't great though because 1) Return time was late 2)The Waiters seemed to be weary of their boss. Asides this, Drinks were great and cheap, the ambience (in the Garden) is the best...More",40,Nov-17,4,Arabesque Restaurant
Gregoryx_10,Very classy and very good - eat outdoors and enjoy,"Dinnertime was a pleasure, from ayran, starters, all of the cooked meats and Eastern Med salads you would expect.  Good pita / laffa bread.  A must every time you come to Lagos.",45,Feb-18,4,Arabesque Restaurant
ManRash2,"Great Ambience, Good Food.","My wife and I had visitors from Turkey who had obviously missed ""home"" food. I called a Lebanese friend to ask for his recommendation. He confirmed that Arabesque was good. We were not disappointed. The ambiance both internal and external in the garden was great....More",40,Jul-18,4,Arabesque Restaurant
Mayank J,Great Ambience and Food,"This place has an amazing ambience and both indoor and outdoor seating are very nice. I personally prefer the outdoor seating.
The food is equally great. And importantly the portions are also decent size.
Excellent service.
Definitely a must visit.",40,Jul-18,4,Arabesque Restaurant
4Abade,"Lovely setting , spacious and great ambience,","This is a Lebanese style restaurant . If you like alfresco dining this is the spot for you . Inside dinning is also well laid out . 
The food was good. Had a few different options and all of them were good .
Tried a...More",30,Feb-18,4,Arabesque Restaurant
Priscilla A,One of my Fav places In Lagos,"I had to organise a surprise for a client's wife in less than 24 hours and I went round VI to recce a couple of restaurants and that's when I discovered Arabesque.
The staff were very courteous, the food was great and they have this...More",40,Mar-17,4,Arabesque Restaurant
oseni_debola,An Arabian ambience for the night!,"There were lots and lots of vegetables (lettuce, tomatoes, green ball pepper, onions etc) on the menu. the quantity is not much but the quality is great. Mixed grill was underwhelming because I expected more meat that I got, but the presentation was 100% good....More",40,Jan-18,4,Arabesque Restaurant
